TIME s, IN1D, IN2D,TIME sT, IN1T,IN2T
1.792,-0.622418,-0.418554,1.792,-0.622418,-0.412095
1.787,-0.630983,-0.435348,1.787,-0.630983,-0.408219
1.782,-0.639548,-0.404344,1.782,-0.636693,-0.441807
1.777,-0.645259,-0.410803,1.777,-0.645259,-0.432764
1.772,-0.653824,-0.439223,1.772,-0.650969,-0.410803
1.768,-0.662389,-0.42243,1.768,-0.662389,-0.440515
1.763,-0.670955,-0.410803,1.763,-0.670955,-0.456017
1.758,-0.676665,-0.440515,1.758,-0.676665,-0.423721
1.753,-0.68523,-0.448266,1.753,-0.68523,-0.427597
1.748,-0.693796,-0.418554,1.748,-0.693796,-0.459893
1.743,-0.702361,-0.441807,1.743,-0.702361,-0.437932
1.738,-0.708071,-0.459893,1.738,-0.708071,-0.428889
1.733,-0.716637,-0.437932,1.733,-0.716637,-0.459893
1.729,-0.725202,-0.428889,1.729,-0.722347,-0.46506
1.724,-0.733768,-0.461185,1.724,-0.733768,-0.435348
1.719,-0.739478,-0.458601,1.719,-0.739478,-0.457309
1.714,-0.748043,-0.432764,1.714,-0.748043,-0.477978
1.709,-0.753753,-0.461185,1.709,-0.753753,-0.453434
1.704,-0.765174,-0.475395,1.704,-0.762319,-0.445683
1.699,-0.770884,-0.448266,1.699,-0.768029,-0.476687
1.694,-0.77945,-0.448266,1.694,-0.773739,-0.476687
1.689,-0.78516,-0.476687,1.689,-0.78516,-0.446974
1.685,-0.79658,-0.463768,1.685,-0.79658,-0.475395
1.68,-0.805146,-0.448266,1.68,-0.802291,-0.488313
1.675,-0.808001,-0.477978,1.675,-0.810856,-0.461185
1.67,-0.816566,-0.485729,1.67,-0.819421,-0.462476
1.665,-0.825132,-0.458601,1.665,-0.825132,-0.489605
1.66,-0.830842,-0.468936,1.66,-0.830842,-0.477978
1.655,-0.839407,-0.49348,1.655,-0.842262,-0.461185
1.65,-0.847973,-0.474103,1.65,-0.847973,-0.489605
1.646,-0.856538,-0.461185,1.646,-0.856538,-0.498648
1.641,-0.862248,-0.490897,1.641,-0.865103,-0.467644
1.636,-0.870814,-0.494772,1.636,-0.870814,-0.477978
1.631,-0.879379,-0.46506,1.631,-0.879379,-0.505107
1.626,-0.887944,-0.492189,1.626,-0.885089,-0.47927
1.621,-0.893655,-0.503815,1.621,-0.89651,-0.472811
1.616,-0.90222,-0.477978,1.616,-0.90222,-0.502523
1.611,-0.913641,-0.476687,1.611,-0.910785,-0.502523
1.606,-0.916496,-0.502523,1.606,-0.919351,-0.472811
1.602,-0.925061,-0.492189,1.602,-0.927916,-0.497356
1.597,-0.933626,-0.472811,1.597,-0.930771,-0.51415
1.592,-0.942192,-0.503815,1.592,-0.942192,-0.484438
1.587,-0.950757,-0.512858,1.587,-0.947902,-0.483146
1.582,-0.959323,-0.484438,1.582,-0.956467,-0.512858
1.577,-0.965033,-0.496064,1.577,-0.965033,-0.49994
1.572,-0.973598,-0.516733,1.572,-0.973598,-0.480562
1.567,-0.979308,-0.49994,1.567,-0.979308,-0.507691
1.563,-0.987874,-0.485729,1.563,-0.987874,-0.520609
1.558,-0.996439,-0.518025,1.558,-0.993584,-0.485729
1.553,-1.005005,-0.520609,1.553,-1.005005,-0.49348
1.548,-1.010715,-0.487021,1.548,-1.010715,-0.523193
1.543,-1.022135,-0.512858,1.543,-1.01928,-0.501231
1.538,-1.027846,-0.527068,1.538,-1.027846,-0.492189
1.533,-1.036411,-0.501231,1.533,-1.036411,-0.521901
1.528,-1.044976,-0.494772,1.528,-1.044976,-0.524484
1.523,-1.050687,-0.523193,1.523,-1.050687,-0.496064
1.519,-1.059252,-0.521901,1.519,-1.059252,-0.510274
1.514,-1.067817,-0.497356,1.514,-1.067817,-0.533527
1.509,-1.076383,-0.523193,1.509,-1.076383,-0.507691
1.504,-1.082093,-0.534819,1.504,-1.082093,-0.49994
1.499,-1.093514,-0.502523,1.499,-1.090658,-0.529652
1.494,-1.099224,-0.506399,1.494,-1.096369,-0.525776
1.489,-1.104934,-0.530944,1.489,-1.102079,-0.497356
1.484,-1.113499,-0.516733,1.484,-1.113499,-0.523193
1.479,-1.122065,-0.502523,1.479,-1.122065,-0.536111
1.475,-1.127775,-0.529652,1.475,-1.127775,-0.507691
1.47,-1.13634,-0.536111,1.47,-1.13634,-0.510274
1.465,-1.142051,-0.503815,1.465,-1.144906,-0.539986
1.46,-1.153471,-0.524484,1.46,-1.150616,-0.521901
1.455,-1.159181,-0.539986,1.455,-1.159181,-0.508982
1.45,-1.167747,-0.518025,1.45,-1.167747,-0.536111
1.445,-1.176312,-0.506399,1.445,-1.176312,-0.543862
1.44,-1.182022,-0.538695,1.44,-1.182022,-0.510274
1.436,-1.193443,-0.533527,1.436,-1.193443,-0.527068
1.431,-1.199153,-0.506399,1.431,-1.199153,-0.550321
1.426,-1.207719,-0.530944,1.426,-1.204864,-0.525776
1.421,-1.213429,-0.543862,1.421,-1.216284,-0.515442
1.416,-1.224849,-0.515442,1.416,-1.221994,-0.546446
1.411,-1.227705,-0.51415,1.411,-1.23056,-0.546446
1.406,-1.23627,-0.543862,1.406,-1.23627,-0.51415
1.401,-1.244835,-0.52836,1.401,-1.244835,-0.539986
1.396,-1.253401,-0.512858,1.396,-1.253401,-0.552905
1.392,-1.261966,-0.54257,1.392,-1.259111,-0.521901
1.387,-1.267676,-0.550321,1.387,-1.267676,-0.520609
1.382,-1.273387,-0.520609,1.382,-1.276242,-0.550321
1.377,-1.284807,-0.537403,1.377,-1.284807,-0.534819
1.372,-1.290517,-0.554197,1.372,-1.290517,-0.519317
1.367,-1.301938,-0.533527,1.367,-1.299083,-0.545154
1.362,-1.304793,-0.520609,1.362,-1.307648,-0.55678
1.357,-1.316213,-0.554197,1.357,-1.316213,-0.521901
1.353,-1.321924,-0.552905,1.353,-1.321924,-0.530944
1.348,-1.330489,-0.520609,1.348,-1.333344,-0.558072
1.343,-1.339054,-0.546446,1.343,-1.339054,-0.534819
1.338,-1.34762,-0.559364,1.338,-1.350475,-0.527068
1.333,-1.35333,-0.534819,1.333,-1.35333,-0.555488
1.328,-1.361895,-0.529652,1.328,-1.364751,-0.558072
1.323,-1.367606,-0.55678,1.323,-1.370461,-0.52836
1.318,-1.376171,-0.546446,1.318,-1.379026,-0.549029
1.313,-1.384737,-0.527068,1.313,-1.387592,-0.565823
1.309,-1.393302,-0.554197,1.309,-1.393302,-0.536111
1.304,-1.401867,-0.564531,1.304,-1.401867,-0.530944
1.299,-1.407578,-0.534819,1.299,-1.407578,-0.559364
1.294,-1.416143,-0.545154,1.294,-1.416143,-0.552905
1.289,-1.421853,-0.565823,1.289,-1.424708,-0.52836
1.284,-1.433274,-0.549029,1.284,-1.433274,-0.555488
1.279,-1.438984,-0.533527,1.279,-1.438984,-0.568407
1.274,-1.447549,-0.563239,1.274,-1.447549,-0.536111
1.27,-1.45326,-0.565823,1.27,-1.45326,-0.537403
1.265,-1.46468,-0.533527,1.265,-1.46468,-0.567115
1.26,-1.47039,-0.55678,1.26,-1.467535,-0.546446
1.255,-1.476101,-0.569699,1.255,-1.476101,-0.536111
1.25,0.431124,1.836987,1.25,0.505357,2.154778
1.245,0.499647,2.321425,1.245,0.499647,2.285253
1.24,0.491082,2.358888,1.24,0.491082,2.365347
1.235,0.482516,2.398935,1.235,0.479661,2.366639
1.23,0.473951,2.419604,1.23,0.473951,2.342094
1.226,0.468241,2.384725,1.226,0.468241,2.35372
1.221,0.45682,2.344678,1.221,0.45682,2.335635
1.216,0.45111,2.345969,1.216,0.45111,2.26846
1.211,0.442545,2.305923,1.211,0.442545,2.23358
1.206,0.433979,2.23358,1.206,0.436834,2.216786
1.201,0.428269,2.210327,1.201,0.428269,2.144444
1.196,0.419704,2.179323,1.196,0.419704,2.083727
1.191,0.411138,2.103105,1.191,0.413993,2.06435
1.187,0.402573,2.042389,1.187,0.402573,2.010093
1.182,0.396863,2.024303,1.182,0.396863,1.932583
1.177,0.391152,1.954544,1.177,0.388297,1.89512
1.172,0.379732,1.879618,1.172,0.379732,1.857656
1.167,0.371166,1.851197,1.167,0.371166,1.778855
1.162,0.365456,1.812442,1.162,0.365456,1.71943
1.157,0.356891,1.727181,1.157,0.356891,1.697469
1.152,0.348325,1.680675,1.152,0.348325,1.636753
1.147,0.342615,1.656131,1.147,0.342615,1.561827
1.143,0.33405,1.574745,1.143,0.33405,1.534698
1.138,0.32834,1.516612,1.138,0.32834,1.497235
1.133,0.319774,1.498527,1.133,0.319774,1.421017
1.128,0.308354,1.441686,1.128,0.311209,1.370635
1.123,0.302643,1.370635,1.123,0.305499,1.355133
1.118,0.294078,1.342215,1.118,0.294078,1.286666
1.113,0.285513,1.312503,1.113,0.285513,1.227242
1.108,0.279802,1.236285,1.108,0.279802,1.210448
1.104,0.271237,1.184611,1.104,0.271237,1.172985
1.099,0.262672,1.174277,1.099,0.265527,1.100642
1.094,0.256961,1.11356,1.094,0.256961,1.07093
1.089,0.248396,1.05672,1.089,0.248396,1.051552
1.084,0.236976,1.038634,1.084,0.242686,0.986961
1.079,0.231265,1.011506,1.079,0.23412,0.933996
1.074,0.2227,0.94433,1.074,0.2227,0.931412
1.069,0.21699,0.905575,1.069,0.21699,0.891365
1.064,0.205569,0.897824,1.064,0.208424,0.821606
1.06,0.199859,0.8384,1.06,0.202714,0.812563
1.055,0.191293,0.794478,1.055,0.191293,0.78931
1.05,0.185583,0.784143,1.05,0.185583,0.724719
1.045,0.177018,0.755723,1.045,0.177018,0.692423
1.04,0.168452,0.69759,1.04,0.171308,0.692423
1.035,0.162742,0.675629,1.035,0.162742,0.649792
1.03,0.151322,0.662711,1.03,0.154177,0.595535
1.025,0.145611,0.608454,1.025,0.148467,0.596827
1.021,0.139901,0.572282,1.021,0.139901,0.57745
1.016,0.131336,0.573574,1.016,0.131336,0.516733
1.011,0.12277,0.538695,1.011,0.125626,0.49348
1.006,0.114205,0.489605,1.006,0.11706,0.496064
1.001,0.108495,0.480562,1.001,0.11135,0.443099
996.094,0.099929,0.470227,996.094,0.102785,0.406928
991.211,0.091364,0.41597,991.211,0.097074,0.413387
986.328,0.082799,0.390134,986.328,0.085654,0.388842
981.445,0.077088,0.400468,981.445,0.079944,0.33846
976.563,0.068523,0.353962,976.563,0.071378,0.335877
971.68,0.059958,0.319083,971.68,0.062813,0.326834
966.797,0.054247,0.321667,966.797,0.054247,0.277744
961.914,0.045682,0.308748,961.914,0.045682,0.251908
957.031,0.037117,0.262242,957.031,0.039972,0.264826
952.148,0.028551,0.251908,952.148,0.031406,0.228655
947.266,0.022841,0.254491,947.266,0.022841,0.187316
942.383,0.014276,0.209277,942.383,0.017131,0.196359
937.5,0.00571,0.179565,937.5,0.00571,0.186024
932.617,-0.002855,0.192483,932.617,0,0.138226
927.734,-0.008565,0.173106,927.734,-0.00571,0.124016
922.852,-0.017131,0.127892,922.852,-0.017131,0.139518
917.969,-0.025696,0.130475,917.969,-0.022841,0.096888
913.086,-0.031406,0.130475,913.086,-0.031406,0.068467
908.203,-0.039972,0.086553,908.203,-0.037117,0.085261
903.32,-0.048537,0.068467,903.32,-0.048537,0.072343
898.438,-0.054247,0.082677,898.438,-0.051392,0.031004
893.555,-0.062813,0.04909,893.555,-0.062813,0.032296
888.672,-0.068523,0.024545,888.672,-0.068523,0.03488
883.789,-0.079944,0.033588,883.789,-0.077088,-0.003876
878.906,-0.088509,0.033588,878.906,-0.082799,-0.027129
874.023,-0.097074,-0.011627,874.023,-0.091364,-0.007751
869.141,-0.102785,-0.018086,869.141,-0.102785,-0.024545
864.258,-0.11135,-0.002584,864.258,-0.108495,-0.065884
859.375,-0.11706,-0.041339,859.375,-0.114205,-0.052965
854.492,-0.125626,-0.064592,854.492,-0.12277,-0.054257
849.609,-0.131336,-0.046506,849.609,-0.131336,-0.093012
844.727,-0.139901,-0.058133,844.727,-0.139901,-0.107222
839.844,-0.151322,-0.09172,839.844,-0.145611,-0.086553
834.961,-0.157032,-0.087845,834.961,-0.157032,-0.113681
830.078,-0.165597,-0.081386,830.078,-0.165597,-0.142102
825.195,-0.177018,-0.120141,825.195,-0.171308,-0.122724
820.313,-0.182728,-0.134351,820.313,-0.179873,-0.125308
815.43,-0.191293,-0.11239,815.43,-0.188438,-0.164063
810.547,-0.197004,-0.134351,810.547,-0.197004,-0.165355
805.664,-0.202714,-0.161479,805.664,-0.202714,-0.145977
800.781,-0.211279,-0.148561,800.781,-0.211279,-0.184732
795.898,-0.2227,-0.143394,795.898,-0.219845,-0.20411
791.016,-0.22841,-0.182149,791.016,-0.225555,-0.178273
786.133,-0.236976,-0.191191,786.133,-0.23412,-0.187316
781.25,-0.242686,-0.165355,781.25,-0.242686,-0.223487
776.367,-0.248396,-0.200234,776.367,-0.248396,-0.209277
771.484,-0.259817,-0.21832,771.484,-0.256961,-0.205402
766.602,-0.265527,-0.198942,766.602,-0.265527,-0.240281
761.719,-0.274092,-0.201526,761.719,-0.274092,-0.253199
756.836,-0.282658,-0.233822,756.836,-0.279802,-0.226071
751.953,-0.288368,-0.227363,751.953,-0.288368,-0.251908
747.07,-0.299788,-0.21832,747.07,-0.296933,-0.276452
742.188,-0.305499,-0.250616,742.188,-0.302643,-0.255783
737.305,-0.314064,-0.263534,737.305,-0.314064,-0.253199
732.422,-0.319774,-0.241573,732.422,-0.319774,-0.289371
727.539,-0.32834,-0.254491,727.539,-0.32834,-0.290663
722.656,-0.336905,-0.284203,722.656,-0.33405,-0.263534
717.773,-0.34547,-0.269993,717.773,-0.342615,-0.29583
712.891,-0.351181,-0.26095,712.891,-0.351181,-0.313916
