TIME s, IN1D,IN2D,TIME sT,IN1T, IN2T
1.812,-0.596722,0.197392,1.812,-0.596722,-0.093787
1.807,-0.605287,0.181373,1.807,-0.605287,-0.099988
1.802,-0.613852,0.169489,1.802,-0.610997,-0.099988
1.797,-0.616707,0.16458,1.797,-0.619563,-0.094304
1.792,-0.625273,0.155795,1.792,-0.625273,-0.099471
1.787,-0.633838,0.141327,1.787,-0.633838,-0.102572
1.782,-0.639548,0.1328,1.782,-0.642404,-0.096112
1.777,-0.648114,0.129442,1.777,-0.648114,-0.096888
1.772,-0.656679,0.11394,1.772,-0.659534,-0.103088
1.768,-0.662389,0.103863,1.768,-0.665245,-0.100246
1.763,-0.67381,0.10128,1.763,-0.67381,-0.097146
1.758,-0.682375,0.091462,1.758,-0.682375,-0.102572
1.753,-0.688086,0.079577,1.753,-0.688086,-0.104639
1.748,-0.699506,0.073118,1.748,-0.699506,-0.098696
1.743,-0.705216,0.069759,1.743,-0.705216,-0.101021
1.738,-0.710927,0.055549,1.738,-0.710927,-0.106447
1.733,-0.719492,0.046506,1.733,-0.722347,-0.10128
1.729,-0.725202,0.046248,1.729,-0.728057,-0.09973
1.724,-0.733768,0.03488,1.724,-0.736623,-0.105672
1.719,-0.745188,0.02532,1.719,-0.745188,-0.105672
1.714,-0.750898,0.021703,1.714,-0.750898,-0.099988
1.709,-0.756609,0.018602,1.709,-0.756609,-0.105155
1.704,-0.768029,0.005684,1.704,-0.765174,-0.107739
1.699,-0.770884,-0.000775,1.699,-0.773739,-0.102313
1.694,-0.77945,0.000775,1.694,-0.782305,-0.101538
1.689,-0.788015,-0.011885,1.689,-0.79087,-0.107481
1.685,-0.79658,-0.019119,1.685,-0.79658,-0.105155
1.68,-0.805146,-0.019894,1.68,-0.805146,-0.101538
1.675,-0.810856,-0.024028,1.675,-0.813711,-0.106964
1.67,-0.819421,-0.034104,1.67,-0.822277,-0.108772
1.665,-0.827987,-0.038497,1.665,-0.830842,-0.10283
1.66,-0.833697,-0.037463,1.66,-0.839407,-0.104122
1.655,-0.842262,-0.050898,1.655,-0.845118,-0.110323
1.65,-0.850828,-0.055549,1.65,-0.853683,-0.105414
1.646,-0.856538,-0.054257,1.646,-0.859393,-0.103347
1.641,-0.867959,-0.062266,1.641,-0.867959,-0.109806
1.636,-0.873669,-0.068209,1.636,-0.873669,-0.110581
1.631,-0.882234,-0.070534,1.631,-0.882234,-0.104639
1.626,-0.8908,-0.070017,1.626,-0.893655,-0.109031
1.621,-0.899365,-0.081127,1.621,-0.899365,-0.112131
1.616,-0.905075,-0.084744,1.616,-0.90793,-0.106705
1.611,-0.913641,-0.08061,1.611,-0.916496,-0.105414
1.606,-0.922206,-0.09172,1.606,-0.925061,-0.111098
1.602,-0.930771,-0.094562,1.602,-0.930771,-0.110064
1.597,-0.939337,-0.095337,1.597,-0.939337,-0.104897
1.592,-0.945047,-0.096112,1.592,-0.947902,-0.110581
1.587,-0.953612,-0.103605,1.587,-0.953612,-0.112906
1.582,-0.959323,-0.107222,1.582,-0.959323,-0.107222
1.577,-0.967888,-0.10283,1.577,-0.967888,-0.107997
1.572,-0.976453,-0.113423,1.572,-0.976453,-0.113165
1.567,-0.982164,-0.116265,1.567,-0.982164,-0.109289
1.563,-0.990729,-0.113423,1.563,-0.990729,-0.106705
1.558,-0.999294,-0.117557,1.558,-1.002149,-0.112131
1.553,-1.005005,-0.122983,1.553,-1.00786,-0.11394
1.548,-1.01357,-0.124274,1.548,-1.016425,-0.107222
1.543,-1.022135,-0.121174,1.543,-1.022135,-0.110839
1.538,-1.030701,-0.130992,1.538,-1.030701,-0.115232
1.533,-1.039266,-0.133317,1.533,-1.039266,-0.109289
1.528,-1.047832,-0.127633,1.528,-1.047832,-0.107739
1.523,-1.056397,-0.135643,1.523,-1.056397,-0.113681
1.519,-1.062107,-0.138226,1.519,-1.062107,-0.11394
1.514,-1.073528,-0.137968,1.514,-1.070673,-0.107739
1.509,-1.079238,-0.136159,1.509,-1.079238,-0.112648
1.504,-1.084948,-0.144169,1.504,-1.084948,-0.11549
1.499,-1.093514,-0.14546,1.499,-1.093514,-0.109547
1.494,-1.099224,-0.138743,1.494,-1.102079,-0.109547
1.489,-1.107789,-0.148819,1.489,-1.110644,-0.115232
1.484,-1.116355,-0.150111,1.484,-1.11921,-0.111873
1.479,-1.12492,-0.147269,1.479,-1.12492,-0.109031
1.475,-1.13063,-0.147527,1.475,-1.13063,-0.114198
1.47,-1.139196,-0.15347,1.47,-1.142051,-0.116007
1.465,-1.144906,-0.153987,1.465,-1.147761,-0.110064
1.46,-1.156326,-0.149336,1.46,-1.156326,-0.111356
1.455,-1.164892,-0.158637,1.455,-1.164892,-0.11704
1.45,-1.170602,-0.159412,1.45,-1.170602,-0.111873
1.445,-1.179167,-0.154245,1.445,-1.182022,-0.109289
1.44,-1.184878,-0.158637,1.44,-1.187733,-0.11549
1.436,-1.196298,-0.162254,1.436,-1.199153,-0.11549
1.431,-1.202008,-0.161479,1.431,-1.207719,-0.109547
1.426,-1.210574,-0.156829,1.426,-1.210574,-0.114198
1.421,-1.216284,-0.165871,1.421,-1.219139,-0.117557
1.416,-1.227705,-0.166905,1.416,-1.227705,-0.111614
1.411,-1.23056,-0.159929,1.411,-1.233415,-0.110839
