TIME s, IN1D, IN2D,TIME sT, IN1T, IN2T
1.826,-0.57388,-0.077252,1.826,-0.571025,-0.084486
1.821,-0.582446,-0.083969,1.821,-0.57388,-0.078027
1.816,-0.588156,-0.085519,1.816,-0.585301,-0.077252
1.812,-0.593866,-0.081644,1.812,-0.593866,-0.085003
1.807,-0.602432,-0.081386,1.807,-0.602432,-0.082161
1.802,-0.610997,-0.086811,1.802,-0.610997,-0.078027
1.797,-0.619563,-0.085261,1.797,-0.616707,-0.084228
1.792,-0.625273,-0.081386,1.792,-0.625273,-0.087328
1.787,-0.633838,-0.088878,1.787,-0.630983,-0.08061
1.782,-0.639548,-0.089395,1.782,-0.639548,-0.083452
1.777,-0.648114,-0.084228,1.777,-0.648114,-0.088878
1.772,-0.659534,-0.086294,1.772,-0.653824,-0.084744
1.768,-0.662389,-0.091462,1.768,-0.662389,-0.081127
1.763,-0.67381,-0.088361,1.763,-0.67381,-0.087845
1.758,-0.682375,-0.086294,1.758,-0.67952,-0.089395
1.753,-0.688086,-0.093012,1.753,-0.688086,-0.083194
1.748,-0.699506,-0.092754,1.748,-0.696651,-0.086811
1.743,-0.705216,-0.088103,1.743,-0.702361,-0.092495
1.738,-0.710927,-0.092237,1.738,-0.708071,-0.086553
1.733,-0.719492,-0.095079,1.733,-0.719492,-0.085003
1.729,-0.725202,-0.091462,1.729,-0.725202,-0.091979
1.724,-0.733768,-0.09017,1.724,-0.733768,-0.090428
1.719,-0.739478,-0.096371,1.719,-0.739478,-0.086036
1.714,-0.750898,-0.095596,1.714,-0.748043,-0.090945
1.709,-0.753753,-0.090687,1.709,-0.756609,-0.095337
1.704,-0.765174,-0.097663,1.704,-0.765174,-0.088361
1.699,-0.770884,-0.098179,1.699,-0.770884,-0.09017
1.694,-0.77945,-0.094045,1.694,-0.77945,-0.096112
1.689,-0.788015,-0.094304,1.689,-0.788015,-0.093012
1.685,-0.79658,-0.099471,1.685,-0.79658,-0.08862
1.68,-0.805146,-0.096629,1.68,-0.805146,-0.095079
1.675,-0.810856,-0.093529,1.675,-0.810856,-0.097663
1.67,-0.822277,-0.100505,1.67,-0.819421,-0.089912
1.665,-0.825132,-0.100763,1.665,-0.825132,-0.093529
1.66,-0.833697,-0.095596,1.66,-0.833697,-0.099213
1.655,-0.842262,-0.09973,1.655,-0.842262,-0.093787
1.65,-0.850828,-0.10283,1.65,-0.850828,-0.090945
1.646,-0.856538,-0.099213,1.646,-0.856538,-0.097663
1.641,-0.867959,-0.096888,1.641,-0.867959,-0.096629
1.636,-0.873669,-0.103605,1.636,-0.873669,-0.092237
1.631,-0.882234,-0.103088,1.631,-0.882234,-0.096112
1.626,-0.893655,-0.097146,1.626,-0.8908,-0.10128
1.621,-0.89651,-0.103863,1.621,-0.89651,-0.094821
1.616,-0.905075,-0.104122,1.616,-0.90222,-0.093529
1.611,-0.913641,-0.099988,1.611,-0.910785,-0.101538
1.606,-0.922206,-0.099988,1.606,-0.922206,-0.097921
1.602,-0.927916,-0.105155,1.602,-0.927916,-0.093529
1.597,-0.939337,-0.103605,1.597,-0.936482,-0.099471
1.592,-0.945047,-0.099471,1.592,-0.945047,-0.102313
1.587,-0.950757,-0.10593,1.587,-0.950757,-0.095596
1.582,-0.959323,-0.106705,1.582,-0.959323,-0.097921
1.577,-0.965033,-0.100763,1.577,-0.965033,-0.103863
1.572,-0.973598,-0.103347,1.572,-0.973598,-0.099213
1.567,-0.982164,-0.107222,1.567,-0.979308,-0.095596
1.563,-0.990729,-0.103605,1.563,-0.990729,-0.102313
1.558,-0.999294,-0.101796,1.558,-0.996439,-0.102572
1.553,-1.005005,-0.108514,1.553,-1.005005,-0.096371
1.548,-1.01357,-0.107739,1.548,-1.01357,-0.100763
1.543,-1.022135,-0.102572,1.543,-1.022135,-0.10593
1.538,-1.027846,-0.107481,1.538,-1.030701,-0.099471
1.533,-1.036411,-0.109547,1.533,-1.036411,-0.097921
1.528,-1.044976,-0.104639,1.528,-1.047832,-0.104639
1.523,-1.050687,-0.103605,1.523,-1.053542,-0.102572
1.519,-1.062107,-0.109289,1.519,-1.062107,-0.097921
1.514,-1.070673,-0.107739,1.514,-1.070673,-0.103088
